,mass,year,reclat,reclong,log(mass)
0,21.0,1880,50.775,6.08333,1.3222192947339193
1,720.0,1951,56.18333,10.23333,2.8573324964312685
2,107000.0,1952,54.21667,-113.0,5.02938377768521
3,1914.0,1976,16.88333,-99.9,3.281941933440825
4,780.0,1902,-33.16667,-64.95,2.8920946026904804
5,4239.0,1919,32.1,71.8,3.627263416568221
6,910.0,1949,44.83333,95.16667,2.9590413923210934
7,30000.0,1814,44.21667,0.61667,4.477121254719663
8,1620.0,1930,-31.6,-65.23333,3.2095150145426308
9,1440.0,1920,-30.86667,-64.55,3.1583624920952498
10,1000.0,1974,16.39806,-9.57028,3.0
11,24000.0,1925,19.08333,8.38333,4.380211241711606
12,779.0,1949,29.51667,35.05,2.8915374576725643
13,1800.0,1838,29.71667,77.95,3.255272505103306
14,3000.0,1959,8.91667,8.43333,3.4771212547196626
15,50000.0,1981,39.91667,42.81667,4.698970004336019
16,160.0,1957,24.41667,39.51667,2.2041199826559246
17,700.0,2001,13.66033,28.96,2.845098040014257
18,6000.0,1806,44.11667,4.08333,3.7781512503836434
19,2000.0,1766,44.65,11.01667,3.3010299956639813
20,625.0,1949,2.0,22.66667,2.7958800173440754
21,252.0,2002,45.82133,6.01533,2.401400540781544
22,700.0,1835,51.78333,-1.78333,2.845098040014257
23,3200.0,1873,36.23333,37.13333,3.505149978319906
24,908.0,1860,44.88333,8.75,2.958085848521085
25,9251.0,1900,50.95,31.81667,3.966188680956137
26,228000.0,1883,45.26667,10.15,5.357934847000454
27,32000.0,1899,42.53333,-85.88333,4.505149978319906
28,2000000.0,1969,26.96667,-105.31667,6.301029995663981
29,3950.0,2008,20.74575,32.41275,3.59659709562646
30,6000.0,1977,35.27333,44.21556,3.7781512503836434
31,6400.0,1895,27.66667,78.25,3.806179973983887
32,2700.0,1880,26.58333,85.56667,3.4313637641589874
33,3200.0,1898,44.61667,-70.75,3.505149978319906
34,600.0,1969,48.7,37.5,2.7781512503836434
